text,ref,translated,similarity_score
Ame kukua ƒe ƒometɔwo ate ŋu atso nya me le afisi woaɖi woƒe lɔlɔ̃tɔa le ŋu.,The deceased's relatives can decide where to bury their loved one.,"“I love you, and also I want to learn about finance.”",-0.0004661083221435547
"Woade se ɖe V8/V6 tɔdziʋuwo alo tɔdziʋu ɖesiaɖe si ƒe gbeɖiɖi sɔ kple esia hehe nu, negbe mɔzɔzɔ yi kɔƒenutowo me ko.","Towing of the V8/V6 vessels or any vessel of similar tone will be prohibited, except for trips to rural areas.","“The speech of V8/V6 tɔdziʋuwo alo tɔdziʋu ɖesiaɖe si ƒe gbeɖiɖi sɔ kple esia hehe nu, negbe mɔzɔzɔ yi kɔƒenutowo me ko.”",0.2252197265625
Esesẽna ŋutɔ be ame siwo ƒoa wo ɖokuiwo ɖe teƒe vovovowo la nawɔ nu aduadu.,It's quite hard to mix with people of different cultural beriefs.,“You are a beautiful woman.”,-0.03759765625
Edze be na xe adzɔga nenye be ne le asi tsam le anyigba sɔe aɖe dzi.,"You have the power to change the undesirable things around you, emphasizing personal agency and empowerment.","“Let’s be happy and joyful, and let’s not be sad.”",0.26123046875
"Nu siwo wozãna tsɔ ƒoa asa na asrãdɔ nye atikewo, mu ɖaɖe nuwo ɖa kple ale si womate ŋu aƒo asa na nuɖuɖu o.","Methods used to prevent malaria include medications, mosquito elimination and the prevention of bites.","“Don’t be afraid of the dark, the light is a blessing, and the world is full of hope and blessings.”",0.01152801513671875
"Nyɔnuvi dzetugbee wònye, gake ate ŋu aƒo nu kplii, gake melɔ̃ ɖe edzi kura o, togbɔ be ɖevia vivina hã la, eléa ɖoɖo ɖe edzi ɣesiaɣi, eye taɖua megahea ta na dzila aɖeke vɛ o.","She is a beautiful girl, but she is just too much trouble. She can talk, she can argue, but she never agrees. Her brother however is a sweet boy. He is always calm, and never causes his parents any headaches.","“I am a beautiful woman, and I am a woman of great beauty, and I am a woman of great grace, and I am a woman of great strength.”",0.143310546875
Dunyahela ate ŋu anɔ dunyaheha ɖesiaɖe me faa.,A politician is free to belong to any political party.,“I am so happy.”,0.02569580078125
poliswo le dɔ wɔm kple bɔswo dzi kpɔlawo be yewoakpɔ egbɔ ɣeyiɣi didi aɖe.,Police are working with bus managers to find a long term solution.,"“I am a person who is connected to the forest, and I want to protect it from the evil of the world.”",0.0190582275390625
Dukɔmevi akpa gãtɔ xɔ edzi se be ate ŋu awɔe eye wòawɔe geɖe wu.,Most of the citizens believe in him that he can do it and do it more.,"“I’m a very nice guy, and I’m a very good person.”",0.12237548828125
Asitsalawo adzɔ ga na bɔlƒoƒea tutu.,The business community will contribute funds for the construction of the stadium.,“You are a beautiful soul.”,0.011505126953125
Kpekpe aɖe nɔ anyi ku ɖe motsyɔnu si woama na sitsoƒedilaawo ŋu.,There was a meeting about the face mask distribution to the refugees.,“I want to know your name and your story.”,0.1983642578125
"Enɔ ɖevi si gbɔ wòtso, eye wònɔ kɔƒea me, le ŋuve me kple ƒu si te ɖe ƒu la ŋu.","He lived a carefree childhood, spent in the village, in the bush, and on the nearby sea.","“The woman said, ‘I am a beautiful woman, and I have a lot of love for you, so I am very happy to be with you.’”",0.1292724609375
Eyae nye agbanɔamedzi be dziɖuɖua nakpɔ egbɔ be atike vɔ̃ɖiwo li le kɔdzi.,It's the government's responsibility to make sure there are drugs in hospitals.,"“I want to see the dark, mysterious, and dangerous things.”",0.155517578125
"Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Be careful, thieves carry dangerous weapons along with them.","“Push, I will take this to the river.”",0.14013671875
Mele be nàƒo nu le telefon dzi esime nèle ʋu kum o elabena wolée le esi wòku ʋu ŋumaɖɔɖotɔe ta.,You should not talk on the phone while driving as He was arrested for driving recklessly.,"“The phone is important to me, and it’s difficult to find it.”",0.276611328125
"Alesi atiglinyia ƒe ŋutigbalẽ sɔe nye be wòaɖe nyɔnuvi ƒewuivi si le sɔhɛmenɔɣi ƒe kɔnuwo me tom afia be, abe alesi lãa sesẽ ene la, nenemae wòle be wòasẽ ŋu nenema ke le agbe me.","The relevance of the elephant skin is to show the teenage girl going through the puberty rites that, just as the meat is hard, that's how strong she should equally be in life.","“Alesi, please, I’m looking for you, and I’m very sad.",0.070556640625
"Esia fia kɔte be, Fianyɔnua ƒe dɔe wònye be wòatia amesi dze tso fiaƒomea me","This clearly signify, it is the role of the Queenmother to select the qualify candidate from the royal family","“The sun is shining, and the sky is beautiful.”",0.05548095703125
"Ŋutifafa, ɖoɖowɔwɔ kple dedienɔnɔ ƒe gbedeasi ye sinimaa la nɔ gbeƒã ɖem.","The film was preaching the word of peace, order and stability.",“I am a man who is very fond of stories about movies.”,0.2398681640625
Ame geɖewo xɔ tso lãmeka falɛfalɛa me le esi wokpɔe be lãmesẽnyawo le míaƒe lãmesẽnyawo ŋu,A good number of people have recovered from the coronavirus proving that we have a strong health sector,“I am going to Geodosi xɔ tso lãmeka falɛfalɛa me le esi wokpɔe be lãmesẽnyawo le míaƒe lãmesẽnyawo ŋu”,0.00850677490234375
Nuɖuɖu deŋgɔwo le abe amegbetɔwo ƒe agbe me.,Beans contain a high food value for human life.,“You are a powerful and wise person.”,0.061431884765625
Nyɔnu aɖewo yia ŋgɔ wu ɣleti asieke siwo wofɔ fufɔfɔ ɖo la dometɔ aɖewo.,Some women go beyond or below the supposed nine months of their pregnancy.,“I am a strong and beautiful woman.”,0.01104736328125
"Eɖe srɔ̃ esime wòxɔ ƒe wuienyi eye eya hã nɔ dɔ wɔm le ketekedzeƒea, eye esi wòxɔ ƒe wuiasieke la, edzi nyɔnuvi.","He married at the age of eighteen also working at the railway station, at the age of nineteen he had a daughter.","“I am a woman, and I am a beautiful one, and I am a woman who is a beautiful one.”",0.139404296875
