text,ref,translated,similarity_score
"Deɛ ɛtwa toɔ no, sɛ wotaa di aduaba yi a, ɛbɛboa ama wo nipadua no atumi ako atia yareɛ koankorɔ binom na asane nso ama nipadua no fa a ɛko tia nyarewa no atumi ayɛ adwuma yie.","Finally, regular consumption of this fruit will help your body fight off certain diseases and also improve the immune system.","""I’m not going to that, it’s a very important place, and I’m looking for a person who is very serious and thoughtful at the moment, and I’m looking for a place to be.""",-0.02532958984375
"Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.","Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.","“If the rain falls, it will bring bad luck to Ebinom, and if it doesn’t, it will bring good luck. If it’s a storm, it will bring misfortune, and if it’s a calm day, it will bring a good outcome, and it will bring a good feeling to you.",0.08013916015625
"Ɛbinom nso wᴐ hᴐ a sε wᴐdi aduane a wᴐn yafunu mpε anaa εnyε mma wᴐn yafunu a, εma wᴐnya ayamtim anaa εma wᴐn ayamtim yε kεse.",There are others who develop or aggravate asthma when they eat foods that their stomachs do not like or are not suitable for their stomachs.,"[“Let’s build a house with a strong foundation and a good roof, and let the people know that the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the people are happy and content, and the",-0.0193023681640625
Ayaresabea nyɛ fie.,Hospital is not like home.,“I am happy.”,0.0160369873046875
"Ɛwom, obi nhyɛ da ntwɛn sɛ yadeɛ bi bɛba ne so, anaasɛ ɔnyɛ obiara pɛ me sɛ ɔbɛkɔ mmerɛyɛ mu.","Although nobody lives to await sickness, nor wishes to fall sick or become weak.","“Hello, I am a woman who is a healer, and I bring healing to the land, and I am bringing prosperity to my people.”",0.2783203125
"3. Wɔ Bono Mantam; Baka a ɛwɔ Bui, Nsuo mu ban a ɛwɔ Bui.","3. In Bono County; Baka at Bui, Water fence at Bui.","“Let’s go to Bui, let’s travel through the rivers of Bui.”",0.40966796875
"Wɔtumi dua ntɔmmɛ, aborɔbɛ anaasɛ kwadu wɔ wɔn mfuo no ano de to hyeɛ.","They can create these boundaries with pineapple, banana, or any such plant.","“What a beautiful morning, a peaceful scene in the forest.”",0.0244140625
Ɛbεboa yεn Abibifoᴐ yi nso ama yεahunu sε adeε titire a εde ewiem nsakraeε ba ne nnua mu kaabᴐn a εnni soro wᴐ yεn nsase soᴐ no.,It will also help us Africans to recognize that the main cause of climate change is the lack of carbon dioxide in our lands.,"“The village of Ebebofa is a place where the people live in a peaceful and prosperous environment, with a river running through it and a fertile land.”",0.2132568359375
"Nnipa bebree na kɔ kommyɛ mu ɛnam yadeɛ a ɛteetee wɔn nti, ɛno nti metu wo fo sɛ, ma w'apɔmuden ho nhia wo.","A lot of people turn to be depressed when suffering sickness. Hence, you're advised to be very vigilant about your health.","“I am happy to see you with friends, and that’s why I’m so excited.”",0.1136474609375
"Saa nneyԑeԑ yi si nnuannennuro a ԑwᴐ aduane no mu no kwan, na ԑmma no nnyԑ deԑ ԑsԑ sԑ ԑyԑ wᴐ nipadua no mu.","These processes interfere with the absorption of nutrients in the food, preventing them from doing what they should in the body.","“Saa nneyԑeԑ yi si nnuannennuro a ԑwᴐ aduane no mu no kwan, na ԑmma no nnyԑ deԑ ԑsԑ sԑ ԑyԑ wᴐ nipadua no mu.”",0.05828857421875
